Time;Band (active);Channel number (active);Scrambling code (active);RSCP (active);Ec/N0 (active);Frame error rate;RSCP (detected);Scrambling code (detected)
 8:36:11.915;UMTS FDD 2100 band 1;10738;387;-73.2;-9.9;;;
 8:36:12.338;UMTS FDD 2100 band 1;10738;387;-78.1;-14.3;;;
 8:36:13.021;UMTS FDD 2100 band 1;10738;387;-74.3;-10.6;;;
 8:36:13.535;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10713, 10738;387, 387;-68.1, -71.9;-7.0, -7.2;;-70.4, -80.4;395, 138
 8:36:14.018;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10738, 10713;387, 387;-71.4, -69.1;-5.9, -8.2;;-70.0, -79.8;395, 138
 8:36:14.540;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10738, 10713;387, 387;-75.1, -70.5;-7.5, -7.7;;-71.9, -81.9;395, 138
 8:36:15.094;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10738, 10713;387, 387;-73.5, -70.3;-6.9, -7.8;;-71.0, -80.2;395, 138
 8:36:15.634;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10738, 10713;387, 387;-72.5, -69.7;-5.1, -7.4;;-70.8, -80.1;395, 138
 8:36:16.134;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10738, 10713;387, 387;-72.4, -70.1;-4.9, -8.8;;-70.5, -80.8;395, 138
 8:36:16.305;;;;;;0.0;;
 8:36:16.625;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10738, 10713;387, 387;-72.5, -70.1;-5.9, -7.0;;-70.9, -82.1;395, 138
 8:36:17.061;;;;;;0.0;;
 8:36:17.170;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10738, 10738, 10713;387, 395, 387;-73.1, -74.3, -71.8;-6.4, -8.6, -9.0;;-70.4, -79.2;395, 138
 8:36:17.645;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10713, 10738, 10738;387, 387, 395;-68.0, -72.3, -72.4;-5.7, -7.7, -7.8;;-70.2, -80.2;395, 138
 8:36:18.165;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10738, 10738, 10713;387, 395, 387;-71.1, -71.9, -70.3;-5.5, -6.6, -8.3;;-69.4, -82.5;395, 138
 8:36:18.715;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10713, 10738, 10738;387, 387, 395;-67.1, -72.8, -74.0;-5.8, -5.8, -7.8;;-69.0, -80.0;395, 138
 8:36:19.235;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10738, 10713, 10738;387, 387, 395;-72.8, -66.1, -73.7;-5.2, -5.7, -8.5;;-69.2, -80.3;395, 138
 8:36:19.745;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10738, 10713, 10738;387, 387, 395;-72.7, -66.6, -73.3;-10.7, -10.8, -12.2;;-68.5, -79.1;395, 138
 8:36:20.265;UMTS FDD 2100 band 1, UMTS FDD 2100 band 1, UMTS FDD 2100 band 1;10713, 10738, 10738;387, 387, 395;-68.7, -72.6, -75.9;-6.5, -6.8, -10.1;;-70.7, -77.9;395, 138
